citation_id,designed_module_rows,families,coverage_note,reference,doi_or_record_url,publication_status
brunette_2015_dhr,82,DHR,"DHR1-DHR83 except DHR9",Brunette TJ et al. (2015). Exploring the repeat protein universe through computational protein design. Nature 528:580-584.,https://doi.org/10.1038/nature16162,peer_reviewed
huddy_2024_thr,65,"THR; THR-associated constructs","40 strict middle-THR modules and 25 THR-associated constructs",Huddy TF et al. (2024). Blueprinting extendable nanomaterials with standardized protein blocks. Nature 627:898-904.,https://doi.org/10.1038/s41586-024-07188-4,peer_reviewed
hansen_2018_darpin,6,designed_armadillo,"PDB 5MFB; 5MFE; 5MFI; 5MFK; 5MFM; 5MFO",Hansen S et al. (2018). Curvature of designed armadillo repeat proteins allows modular peptide binding. Journal of Structural Biology 201:108-117.,https://doi.org/10.1016/j.jsb.2017.08.009,peer_reviewed
madhurantakam_2012_darpin,4,designed_armadillo,"PDB 4DB6; 4DB8; 4DB9; 4DBA",Madhurantakam C et al. (2012). Structure-based optimization of designed Armadillo-repeat proteins. Protein Science 21:1015-1028.,https://doi.org/10.1002/pro.2085,peer_reviewed
reichen_2014_darpin,3,designed_armadillo,"PDB 4PLQ; 4PLR; 4PLS",Reichen C et al. (2014). Crystal structures of designed armadillo repeat proteins: implications of construct design and crystallization conditions on overall structure. Protein Science 23:1572-1583.,https://doi.org/10.1002/pro.2535,peer_reviewed
fallas_2017_cyclic,3,"designed_ankyrin; designed_armadillo","PDB 4GPM; 4HB5; 4HXT",Fallas JA et al. (2017). Computational design of self-assembling cyclic protein homo-oligomers. Nature Chemistry 9:353-360.,https://doi.org/10.1038/nchem.2673,peer_reviewed
reichen_2016_interfaces,3,designed_armadillo,"PDB 4V3O; 4V3Q; 4V3R",Reichen C et al. (2016). Structures of designed armadillo-repeat proteins show propagation of inter-repeat interface effects. Acta Crystallographica D 72:168-175.,https://doi.org/10.1107/S2059798315023116,peer_reviewed
hansen_2017_darpin_fusions,2,designed_armadillo,"PDB 5MFC; 5MFD",Hansen S et al. (2017). Structures of designed armadillo repeat proteins binding to peptides fused to globular domains. Protein Science 26:1942-1952.,https://doi.org/10.1002/pro.3229,peer_reviewed
reichen_2016_modular_recognition,2,designed_armadillo,"PDB 4D49; 4D4E",Reichen C et al. (2016). Computationally designed armadillo repeat proteins for modular peptide recognition. Journal of Molecular Biology 428:4467-4489.,https://doi.org/10.1016/j.jmb.2016.09.012,peer_reviewed
main_2003_tpr,2,designed_tetratricopeptide_repeat,"PDB 1NA3; 1NA0",Main ERG et al. (2003). Design of stable alpha-helical arrays from an idealized TPR motif. Structure 11:497-508.,https://doi.org/10.1016/S0969-2126(03)00076-5,peer_reviewed
mosavi_2002_ankyrin,2,designed_ankyrin,"PDB 1N0Q; 1N0R",Mosavi LK et al. (2002). Consensus-derived structural determinants of the ankyrin repeat motif. PNAS 99:16029-16034.,https://doi.org/10.1073/pnas.252537899,peer_reviewed
hansen_2016_picomolar,1,designed_armadillo,PDB 5AEI,Hansen S et al. (2016). Structure and energetic contributions of a designed modular peptide-binding protein with picomolar affinity. JACS 138:3526-3532.,https://doi.org/10.1021/JACS.6B00099,peer_reviewed
michel_2023_stability,1,designed_armadillo,PDB 7QNP,Michel E et al. (2023). Improved repeat protein stability by combined consensus and computational protein design. Biochemistry 62:318-329.,https://doi.org/10.1021/acs.biochem.2c00083,peer_reviewed
park_2015_lrr,1,designed_leucine_rich_repeat,PDB 4R58,Park K et al. (2015). Control of repeat-protein curvature by computational protein design. Nature Structural & Molecular Biology 22:167-174.,https://doi.org/10.1038/nsmb.2938,peer_reviewed
de_haas_2025_ithr,1,designed_ice_binding_iTHR,PDB 9D01,de Haas RJ et al. (2025). Inhibition of ice recrystallization with designed twistless helical repeat proteins. PNAS 122:e2514871122.,https://doi.org/10.1073/pnas.2514871122,peer_reviewed
kajander_2007_tpr,1,designed_tetratricopeptide_repeat,PDB 2AVP,Kajander T et al. (2007). Structure and stability of designed TPR protein superhelices: unusual crystal packing and implications for natural TPR proteins. Acta Crystallographica D 63:800-811.,https://doi.org/10.1107/S0907444907024353,peer_reviewed
cortajarena_2010_tpr,1,designed_tetratricopeptide_repeat,PDB 3KD7,Cortajarena AL et al. (2010). Crystal structure of a designed tetratricopeptide repeat module in complex with its peptide ligand. FEBS Journal 277:1058-1066.,https://doi.org/10.1111/j.1742-4658.2009.07549.x,peer_reviewed
rcsb_4hqd_or265,1,designed_ankyrin,PDB 4HQD,Vorobiev S et al. Crystal structure of engineered protein OR265.,https://www.rcsb.org/structure/4HQD,pdb_only_to_be_published
rcsb_4pq8_or465,1,designed_leucine_rich_repeat,PDB 4PQ8,Vorobiev S et al. Crystal structure of engineered protein OR465.,https://www.rcsb.org/structure/4PQ8,pdb_only_to_be_published
